"naam","omschrijving","categorie","gm","id"
"gymkast","gymkast","9","Ja","2840"
"gymtegel","gymtegel","9","Nee","2841"
"hamer","hamer","3","Nee","2842"
"handdoek","handdoek","3","Nee","2843"
"haring ijzer","haring ijzer","3","Nee","2844"
"hark","hark","3","Nee","2845"
"helmen","helmen","1","Nee","2846"
"hesje oranje","hesje oranje","3","Nee","2847"
"hobbelfiets","hobbelfiets","9","Nee","2848"
"hockeystick uneyhockey","hockeystick uneyhockey","9","Nee","2849"
"hoefijzer","hoefijzer","3","Nee","2850"
"hoefijzer ringwerpspel","hoefijzer ringwerpspel","9","Nee","2851"
"hoefijzerwerpspel","hoefijzerwerpspel","9","Nee","2852"
"hoepel","hoepel","9","Nee","2853"
"hoger lager kaarten","hoger lager kaarten","9","Nee","2854"
"honkbalset","honkbalset","9","Nee","2855"
"hout balk","hout balk","10","Nee","2856"
"hout hardboard","hout hardboard","10","Nee","2857"
"hout panlatten","hout panlatten","10","Nee","2858"
"hout plank","hout plank","10","Nee","2859"
"hout sloop","hout sloop","10","Nee","2860"
"hout vloerplaat","hout vloerplaat","3","Nee","2861"
"hout zaagplaat","hout zaagplaat","10","Nee","2862"
"houtblok spijkerslaan","houtblok spijkerslaan","9","Nee","2863"
"ijsstokjes","ijsstokjes","10","Nee","2864"
"indiaca","indiaca","9","Nee","2865"
"jenga groot","jenga groot","9","Nee","2866"
"jeu de boules","jeu de boules","9","Nee","2867"
"jute zak","jute zak","3","Nee","2868"
"kaarten stok","kaarten stok","9","Nee","2869"
"kampvuurpaaltje","kampvuurpaaltje","3","Nee","2870"
"kandelaar","kandelaar","8","Nee","2871"
"kapstok","kapstok","8","Nee","2872"
"karton plaat","karton plaat","10","Nee","2873"
"karton rol (tapijt)","karton rol (tapijt)","10","Nee","2874"
"karton rol (wc rol)","karton rol (wc rol)","10","Nee","2875"
"kassa","kassa","3","Nee","2876"
"kegelbaan","kegelbaan","9","Nee","2877"
"kegels","kegels","9","Nee","2878"
